@relation Twitter
@attribute body string
@attribute classOfTweet {Y,N}
@data
"Donald Trump's campaign remarks about Mexican immigrants represent a play to the worst parts of society, Vice President Joe Biden said Tuesday. Speaking at a reception marking Hispanic Heritage Month, Biden laid into the businessman turned GOP front-runner -- naming him twice -- as reverting to ''xenophobia'' in a play for votes.",Y
"As for China, he??ll argue that China is ??stealing?? jobs from the US (there??s the indignation)??and if he were in office, he wouldn??t let the nation ??have its way with us.??",N
"Enter Donald Trump, who seems to have an innate mastery of this process. He is an ad-man??s dream, a political consultant??s perfect plaything.",N
"Could be ''DIE'' or ''DJT'' for Donald J Trump? Or maybe he's just DTF and wants us to know it",N
"This is really dumb. What's the joke? That a guy was cheering too loudly for Trump?",Y
"One thing American voters are signaling to the political establishment and the policy establishment working in Washington is that maybe they don't care. ... Maybe the voters are saying this is a whole different election. Maybe they're saying, 'It's just too early, gosh darn it, give us a break",Y
"Yes, that's true about his vague tax proposals. But I disagree with the no-bs statement, because he is all bs. Whenever he is asked for details of any plan, he says, ''When I tell you, it's going to be really great! The greatest!'' But he never says what it is.",N
"Trump only mentions Mexicans. That's the problem. He's picking one group. That's what makes him a bigot whether he is or not in general",Y
"Disgust is a genetic characteristic of Trump supporters.",N
"Trump is a great speaker. But so was the little corporal from Bavaria.",Y
"I agree that Trump's campaign is a ''movement'', albeit in a more physiological sense. It certainly reeks of something",N
"Anybody who says as intolerant words as those should be laughed at, and that's pretty much what history will do",N
"There is nothing to apologize for. Many bad people are pouring through. I'm not saying just Mexican, many bad people. All you have to do is ask the border patrol,'' Trump said. ''I don't have a racist bone in my body. I'm just exposing things that everybody knows is happening, but nobody wants to talk about.",N
"No let Trump do that and open another golf course and when that fails dump it all by going bankrupt.",N
"Exactly. Donald Trump is incredibly offensive and people need to call him out on it.",Y
"Donald trump SHOULD be laughed at for some of his comments. But I don't know if this one particularly is one of them",Y
"He has just got something going on with his ability to perform in front of the crowd.",N
"It's going to be pretty easy for Trump to belittle Clooney's comments.",Y
"Trump comes off as intolerant but he's not wrong about illegal immigration from Mexico needing to be dealt with.",Y
"And you truly think Trump cares more? Has any less? He has made a living being rude and arrogant. Atleast Clooney is good looking, and smart.",N
"Donald Trump supporters love him because he says exactly what they want to hear. Immigrants will be thrown out of the country.",Y
"Nobody supports illegal immigration, but anyone who believes that Donald Trump will make Mexico pay for that great wall should be laughed at.",N
"Get your head out of the sand and use whatever intelligence you have to realize that there is no simple solution.",Y
"Trump is elected he should do all he can to screw the Hollywood Liberals",N
"Trump cares soooooo much about your opinion that he forgot to react...sorry George, you are truly irrelevant.",N
"You Trump supporters show how stupid, clueless and weak you are. Such clueless stupid idiots!",Y
"And this is why I adore Clooney - Trumph is plain despicable",N
"the Clown Trump and you all are the jokes",Y
"We can only hope. He needs to go away, he is not good for America image",Y
"Trump's a knuckle-dragger, and so are you. He has a message of aggression and blustering, and you eat that up.",Y
"Donald is a pig but he is a pig that can be bought. We like that.",Y
"Trump seems to know how a deviant thinks",N
"So you people think that a president should attack any reporter that ask them a tough question",Y
"Actually, I think it's Trump who's always having a period.",N
"Trump's too cowardly to admit what he meant by ''or wherever.''",Y
"He is just running for President to draw attention to himself. Like he doesn't have better things to. This man is such an idiot",Y
"He doesn't want to actually do the work involved in being president. He just wants to win. He is an utter fool.",N
"Liberals LOVE Trump! His sideshow is sinking any chance of a Republican winning.",N
"He is brilliant and the liberal media is running scared because of it! Go Trump!",Y
"But a funny person is not necessarily what we want in a president. And I can see him being a foreign relations nightmare.",N
"Mr. Trump is a perfect representative for those who comprise the Republican party.",Y
"I fail to see the big deal about his comment!! This is so silly!",N
"Yo Donald, let's hear how your bazillion bankruptcies have impacted our economy.",N
"I'm Canadian but am really worried for the USA if Trump gets in office",N
"If Trump ever got into office, you will be welcoming one more Canadian. I've already vowed to move there.",Y
"And I Hate Him! I know he's crazy, but I am too!",N
"YOU ARE A DAMN LOUD MOUTH MORON IDIOT",N
"Neither did I, he's an idiot. Us Dems will win again! Go Hillary!",Y
"Hopefully when Mr. Trump is elected President and the leaders of Iran chant ''death to America'', Mr. Trump will say ''you know what, how about death to Iran'' and bombs them off of the face of the earth.",Y
"But supporting trump along with you!",Y
"We know you're the same troll! Calm down, this isn't the polls, although you morons probably think it is!",N
"Trump is crazy. Kelly is a feminist bitch and crazy too",Y
"Trump for top dog!",N
"Trump takes this wealth principle to an extreme. He not only refuses to dwell on his past failures",Y
"They don??t recognize failure like the rest of us. They only see it as a stepping stone to their success. These people are professional comeback artists, so when they fail, they frame the setback as a bump in the road as opposed to an outright failure",N
"He's got amazing hair",Y
"He thinks global warming is a Chinese conspiracy",N
"It's Shame D.Trump is total arrogant Asshole",N
"Trump is getting angry about Cher saying ''horrible untrue'' things about Republican candidates, When he did the same thing about the Mexican people.",N
"Trump doesn??t align with tfm??s new political correctness position",N
"Trump is kinda a nut. He didn??t even promise that he wouldn??t run as a third party canidate, and if he did Hilary would win. He would just be splitting the republican vote.",Y
"The fact that he??s got no regard for what spills out of his mouth or his thumbs makes him the man to fix Washington",Y
"Trump as president is a joke. I like the attitude but he just talks big game without going in to specifics like Rubio or Paul can. He would make an awesome press secy though.",N
"I've felt embarrassed for Mr. Trump many times. This is the first time I felt sorry him.",Y
"HOLY SHIT! Hello media ?? Donald Trump just put Waffen-SS troops in a campaign",Y
"You guys need to lay off The Donald. We need to make sure he gets as far through the Republican primaries as possible. I mean, this is our own political version of The Jersey Shore",N
"Just imagine the sort of mistakes he could make with access to the nuclear codes.",N
"Perhaps the alien slug that is Trumps hair started out life as Taft's mustache",N
"At least we know who's driving the clown car",N
"The more he opens his mouth, the less I am sure...but his utter arrogance, makes me feel okay bout laughing",N
"I can feel myself getting dumber the longer I watch, but I can't stop",N
"America needs Donald Trump. I am with Donald Trump.",Y
"What will be great about Trumps campaign is he will put out spme truth in a BIG wsy",N
"The only thing to be feared about Trump is that mass under the combover, his mind!",Y
"want to know who the real trolls are? they legitemize rogue behavior by saying ''they were merely taking orders''.",Y
"Wow so many dummies and trolls. Trump is not even a candidate you idiots",Y
"So I guess the intern do all the work in the USA the rest just get the money",Y
"This gallery doesn't do justice to the facial contortions of Mr. Trump.?",Y
"Only the Guardian can think this up",Y
"When Trump called women fat pigs, or Mexicans rapists the republican field barely blinked. But when he rounds on a Fox journalist they all leap to her defense",Y
"Trump is a chump",N
"Trump must be taking Dickhead lessons from the Captain.",Y
"Or visa versa..........",N
"Underlying sexism is the basic disregard for the civility and respect that all humans are entitled to. Trump is sexist towards women but, more importantly, his is uncivilised to people in general",N
"Trump should no better then to attack someone who lives in the gutter, because that only provides them with a foot stool to the curb.",N
"Trump is not wrong in pointing the finger at the damage and destruction wrecked by political correctness ...",Y
"Trump does nothing to help us see through mass hysteria. He creates it.",Y
"Donald Trump isn't afraid of women. Erick Erickson I just found out about today and for the life of me I cannot explain that man other than it appears that he chaired a meeting that threw the top polling candidate off their party's platform because Trump according to foul mouthed",Y
"I'm not a Trump supporter, and his jibe at Kelly was justified since she's been using Trump as a punching bag for ages so as to boost her ratings.",Y
"Trump breaking the glass ceiling for Neanderthals",Y
"Trump once entered a pro wrestling stage. Problem is, he's never left since.",Y
"Glad Trump doesn't have time for political correctness, because you sir maybe rich, I say maybe, but you are a baffoon, a complete bigot, sexist neanderthal",N
"Trump is the winner of The Bloody Fool Award of the Year...., because in America the punters are in love with crass stupidity.",Y
"Donald trump has played this masterfully, and you lot are all 'losers' for not realising what he did",Y
"This is where I think trump was clever, he knew full well what conclusion people would jump to when he used them about a female moderator who he had an exchange with.",Y
"If Trump is that smart, we should rejoice that, at long last, the US will have a clever president",Y
"It is ??You could see there was blood coming out of her eyes. Blood coming out of her wherever.?? Notice the ''ood coming out of her wherever''? You're firedtt",N
"Donald Trump is being cast off with daily new-findings into his controversy. Same things which happened with Romney not very long ago",Y
"Heh...well we know Trump likes his women blonde and dumb and more importantly 'silent'. Though I''m not crazy about Kelly at least she is an intelligent woman - I'm sure Trump didn't know what to make of it.",Y
