@relation C__Users_Haomeng_Desktop_Creativity_of_emoticon_recognition_emoticons

@attribute text string
@attribute @@class@@ {negative,positive,undefined}

@data
'.@theonlyadult @FlowerInFaith @POTUS He\'s one of a kind for sure. We need #Hillary2016 to appoint him to @SCOTUS.',negative
'RT @MichaelGrantBks: Yeah, I didn\'t think #JoeBiden would get in.  @HillaryClinton will be a great nominee and a great president.  Go #Hill…',negative
'RT @ChristieBarbie8: @peterdaou @kayitcanbe @HillaryClinton That\'s hit she can absorb and spit out...  #Hillary2016',negative
'@benshapiro @LouShelly You shouldn\'t make fun of a woman who suffered a brain injury after \"fainting\" from \"dehydration.\" #Hillary2016',negative
'RT @HillaryIn2016: Now all we have to do is wait for the polls to no longer include Joe Biden &amp; see Hillary Clinton\'s numbers shoot up even…',negative
'RT @cruadin: @benshapiro @LouShelly You shouldn\'t make fun of a woman who suffered a brain injury after \"fainting\" from \"dehydration.\" #Hil…',negative
'RT @GKMTNtwits: 🔵 Is media that doesn\'t follow Benghazi $ really media? #MSMfail15 #HillaryBias #HillaryClinton @SteveKornacki https://t.co…',negative
'Great Read: Clinton isn\'t the one on the defensive in the #Benghazi hearings https://t.co/xSz5CRpV9J #ImWithHer',negative
'@dpkpr yeah - #Disappointments @VP #JoeBiden - my new theory is he\'s pinch runner if #HillaryClinton melts - I\'m skeptical she can win.',negative
'Hillary\'s press corps: Oh The Diversity https://t.co/ifo0fglMCe @HillaryClinton #Hillary2016 https://t.co/OvxKS22fSN',negative
'i\'m depressed #Biden is not running cuz we have to hear about #HillaryClinton all the time.At least he would have been a good distraction.',negative
'RT @Varneyco: .@petehoekstra on #HillaryClinton: The public may think the email scandal is gone but the FBI isn\'t at that point.',negative
'Before y\'all vote for Hillary you better do some digging first. #hillaryclinton #presidential2016… https://t.co/sLgq4Tqifp',negative
'Hillary\'s post-debate bump continues https://t.co/WA5uDqeeRq #uniteblue #hillary2016 #feelthebern',negative
'@Libertea2012 No--we\'re just sick of hearing about #HillaryClinton....period.',negative
'@realDonaldTrump a loser\'s way to see it. It is not because you\'re better than #HillaryClinton but because \"she has the worst record.\"',negative
'RT @KathyAngel2: @Libertea2012 No--we\'re just sick of hearing about #HillaryClinton....period.',negative
'RT @limitlesslaura: Great Read: Clinton isn\'t the one on the defensive in the #Benghazi hearings https://t.co/xSz5CRpV9J #ImWithHer',negative
'RT @Jonathanky74: Hillary\'s post-debate bump continues https://t.co/WA5uDqeeRq #uniteblue #hillary2016 #feelthebern',negative
'RT @JC7109: It\'s ALL your fault...\n\n#wakeupAmerica #tcot #uniteblue  #tgdn #hillary2016 https://t.co/D9HbEBKmr2',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @abc7newsBayArea: UPDATE: #HillaryClinton and #DonaldTrump weigh in on #JoeBiden\'s decision to not run: https://t.co/bIJqDHdBXn https://…',negative
'#JoeBiden isn\'t running 4 #presidentialrace2016.It means all decks cleared 4 #HillaryClinton huh.#Biden2016 #GameOfSilence #UNITEDSTATES',negative
'Well...#HillaryClinton there is \'that\' �? #BenghaziCommittee  https://t.co/Xc4tQhKcql',negative
'RT @SouthernRock3: .@markknoller @admiralmpj -He\'ll be promoting Dem Candidate, assuming 1 is on ballot. Obama is a Democrat. #Hillary2016',negative
'@scott_nicholson  A non-vote is a vote for Trump..  do ppl really want that?  It\'s no secret #ImWithHer',negative
'Fmr #hillaryclinton aide @SlaughterAM said she\'s happy @reppaulryan today 4 prioritizing family while discussing new book #unfinishedbiz',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @SouthernRock3: .@theonlyadult @FlowerInFaith @POTUS He\'s one of a kind for sure. We need #Hillary2016 to appoint him to @SCOTUS.',negative
'Who are Bill Kristol\' sources? House #GOP needs to create a \"Select Committee\" for that investigation. #BenghaziCommittee #HillaryClinton',negative
'#Hillary2016 the 3 o\'clock phone call came from Benghazi but Hillary ignored it, she doesn\'t deserve a chance to ignore a call as president',negative
'Great article by @RameshPonnuru on GOP\'s weak policy response to #Hillary2016 liberalism https://t.co/NqlyvGpkJs',negative
'Does anyone know what time Hillary\'s Benghazi hearing starts tomorrow? I want to make sure I don\'t miss it. #Hillary2016',negative
'Rose, he\'s out. Let\'s mend fences. Real Democrats need to stick together. #Hillary2016  https://t.co/BZHKSlX3qT',negative
'RT @mydoggigi: Rose, he\'s out. Let\'s mend fences. Real Democrats need to stick together. #Hillary2016  https://t.co/BZHKSlX3qT',negative
'RT @HillaryIn2016: Does anyone know what time Hillary\'s Benghazi hearing starts tomorrow? I want to make sure I don\'t miss it. #Hillary2016',negative
'With #Biden announcing he won\'t run, #HillaryClinton now has the nomination in the bag. Now it\'s about beating Hillary, not each other @GOP',negative
'RT @JC7109: It\'s ALL your fault...\n\n#wakeupAmerica #tcot #uniteblue  #tgdn #hillary2016 https://t.co/D9HbEBKmr2',negative
'#Trump: #Biden made \'correct decision,\' bring on hag #HillaryClinton\'s \'bad record\'\n\nhttps://t.co/ixTzv59lW7 #tcot #ohhillno #Trump2016 #p2',negative
'Are we going to have a lady as the most powerful person in the world soon? It\'s closer to happening now.\n#JoeBiden #Hillary2016',negative
'@DailyCaller that means nothing. Let\'s hear what liar #HillaryClinton has to say.',negative
'Fox News\' Tantaros Has Conspiracy Laden Meltdown After Biden Speech #UnitedBlue #MorningJoe #Hillary2016 https://t.co/CsAaSBmInU',negative
'RT @kttk234567: #Trump: #Biden made \'correct decision,\' bring on hag #HillaryClinton\'s \'bad record\'\n\nhttps://t.co/ixTzv59lW7 #tcot #ohhilln…',negative
'Biden says he won\'t run for president, a boost for Clinton  https://t.co/0n5Jh6GNk6  #joebiden #hillaryclinton #POTUS',negative
'She needs a good criminal lawyer - @Judgenap on #HillaryClinton before tomorrow\'s hearing',negative
'RT @MantonieByrd: Hillary\'s reaction #JoeBiden #HillaryClinton #Biden https://t.co/ZT4mUCyIyU',negative
'#Trump : #Biden Made \'Correct Decision,\' Bring On #HillaryClinton \'s \'Bad Record\' - https://t.co/MLFcg8VoBx',negative
'#Trump : #Biden Made \'Correct Decision,\' Bring On #HillaryClinton \'s \'Bad Record\' - https://t.co/kcka7EvshL',negative
'Wake Up, Democratic Party: You\'re In Serious Trouble #UnitedBlue #MorningJoe #Hillary2016 https://t.co/sa05cDA335',negative
'Trump: Bring on #Hillary\'s Pathetic Record\n\nhttps://t.co/C4lkFVGjIr #GOP2016 #Trump2016 #HillaTheHun #Hillary2016\n\n#UniteBlue',negative
'RT @1stAirDel_USMCR: Trump: Bring on #Hillary\'s Pathetic Record\n\nhttps://t.co/C4lkFVGjIr #GOP2016 #Trump2016 #HillaTheHun #Hillary2016\n\n#Un…',negative
'I think @JoeBiden would make a good President but it\'s jus not the right time. #ImWithHer #Hillary2016',negative
'@pierregobet nous sommes maintenant fixés avec l\'annonce de @JoeBiden #hillary2016',negative
