@relation Twitter
@attribute body string
@attribute classOfTweet {Y,N}
@data
"Donald Trump's campaign remarks about Mexican immigrants represent a play to the worst parts of society, Vice President Joe Biden said Tuesday. Speaking at a reception marking Hispanic Heritage Month, Biden laid into the businessman turned GOP front-runner -- naming him twice -- as reverting to ''xenophobia'' in a play for votes.",Y
"As for China, he??ll argue that China is ??stealing?? jobs from the US (there??s the indignation)??and if he were in office, he wouldn??t let the nation ??have its way with us.??",N
"Enter Donald Trump, who seems to have an innate mastery of this process. He is an ad-man??s dream, a political consultant??s perfect plaything.",N
"Using many of his own words, we explain why The Donald is dangerous as well as boorish",Y
"This is really dumb. What's the joke? That a guy was cheering too loudly for Trump?",Y
"I think it was vintage Trump. It wasn't a defense-policy speech the way we've come to think of them in the modern presidential campaign era. There were no specifics on really anything.",Y
"Yes, that's true about his vague tax proposals. But I disagree with the no-bs statement, because he is all bs. Whenever he is asked for details of any plan, he says, ''When I tell you, it's going to be really great! The greatest!'' But he never says what it is.",N
"He's invoking language that is reminiscent of a time when America was deporting LEGAL citizens of color. ''Keep the families together.'' Tread carefully.",N
"Disgust is a genetic characteristic of Trump supporters.",N
"They are both disgusted and disgusting. They love hate. They are the pigs in 1984, Orwell's novel",N
"I agree that Trump's campaign is a ''movement'', albeit in a more physiological sense. It certainly reeks of something",N
"The Trump is going to make America great again, and the Bern is going to start a revolution. You've got to hand it to these guys, they're nothing if not egotistical.",Y
"There is nothing to apologize for. Many bad people are pouring through. I'm not saying just Mexican, many bad people. All you have to do is ask the border patrol,'' Trump said. ''I don't have a racist bone in my body. I'm just exposing things that everybody knows is happening, but nobody wants to talk about.",N
"'Wow, I've been advertised to rather than letting me decide who the best character is. I've been manipulated to vote.",N
"Exactly. Donald Trump is incredibly offensive and people need to call him out on it.",Y
"Are you sure that he is the one who is incredibly offensive?",N
"He has just got something going on with his ability to perform in front of the crowd.",N
"I'm having a really hard time taking seriously the opinions of people who would rather be lied to than offended.",Y
"Trump comes off as intolerant but he's not wrong about illegal immigration from Mexico needing to be dealt with.",Y
"And Donald Trump's response will be: George Clooney is an OK actor, and he's not even good looking!",Y
"Donald Trump supporters love him because he says exactly what they want to hear. Immigrants will be thrown out of the country.",Y
"Anyone who supports illegal immigration should be laughed at. Anyone who sticks their head in the sand and refuses to admit the negative effects of illegal immigration should be laughed at.",N
"Get your head out of the sand and use whatever intelligence you have to realize that there is no simple solution.",Y
"Donald Trump is playing you.",N
"Trump cares soooooo much about your opinion that he forgot to react...sorry George, you are truly irrelevant.",N
"everything you say is true---if George is against Trump then people know Trump is the way to go.",N
"And this is why I adore Clooney - Trumph is plain despicable",N
"Trump definitely has rough edges in his delivery; however, he's a proven wealth builder who I want to bring financial recovery to our Country",Y
"We can only hope. He needs to go away, he is not good for America image",Y
"I'm glad that Donald Trump said what he said. This goes to show everyone how soft and pathetic America's people are becoming.",Y
"Donald is a pig but he is a pig that can be bought. We like that.",Y
"Trump is disgusting, obnoxious, sexist, racist, and ridiculous - I'm ashamed of anyone who supports his run for President",N
"So you people think that a president should attack any reporter that ask them a tough question",Y
"This does not mean he hates neither all women, nor all men by those statements. It just means those PEOPLE have not earned his respect",N
"Trump's too cowardly to admit what he meant by ''or wherever.''",Y
"SHE IS A LOSER GO TRUMP",Y
"He doesn't want to actually do the work involved in being president. He just wants to win. He is an utter fool.",N
"Okay, then, he behaves foolishly and has no clue that he does",N
"He is brilliant and the liberal media is running scared because of it! Go Trump!",Y
"Keep it coming Donald. Politics are usually boring",N
"Mr. Trump is a perfect representative for those who comprise the Republican party.",Y
"GO TRUMP GO!!!",N
"Yo Donald, let's hear how your bazillion bankruptcies have impacted our economy.",N
"TRUMP IS A DISGUSTING HUMAN BEING",N
"If Trump ever got into office, you will be welcoming one more Canadian. I've already vowed to move there.",Y
"I'm loving me some Trump right now",N
"YOU ARE A DAMN LOUD MOUTH MORON IDIOT",N
"Upon further review we need Trump's leadership",Y
"Hopefully when Mr. Trump is elected President and the leaders of Iran chant ''death to America'', Mr. Trump will say ''you know what, how about death to Iran'' and bombs them off of the face of the earth.",Y
"I realize if Trump is in there we will gain our respect back that that fool obama spent on his pal arab nations.",N
"We know you're the same troll! Calm down, this isn't the polls, although you morons probably think it is!",N
"If we can survive a Muslim born in Kenya President we could survive Trump if he made it. The way I look at it, at least he was born here and shares our traditions and doesn't hate America!",N
"Trump for top dog!",N
"Trump always pulls out the face cardTrump always pulls out the face cardTrump always pulls out the face cardTrump always pulls out the face cardTrump always pulls out the face card",N
"They don??t recognize failure like the rest of us. They only see it as a stepping stone to their success. These people are professional comeback artists, so when they fail, they frame the setback as a bump in the road as opposed to an outright failure",N
"Donald Trump, from a psychological standpoint, lives in an alternative universe that he??s created for himself. It??s a psychological universe where losses are overlooked and gains are inevitable",Y
"He thinks global warming is a Chinese conspiracy",N
"In fact, he's the world's greatest climate scientist",N
"Trump is getting angry about Cher saying ''horrible untrue'' things about Republican candidates, When he did the same thing about the Mexican people.",N
"DUMP TRUMP I'M DYING.",Y
"Trump is kinda a nut. He didn??t even promise that he wouldn??t run as a third party canidate, and if he did Hilary would win. He would just be splitting the republican vote.",Y
"See I think you are wrong. I think Trump can beat Hillary. History shows that whenever a radical republican takes on a radical democrat republicans usually win.",N
"Trump as president is a joke. I like the attitude but he just talks big game without going in to specifics like Rubio or Paul can. He would make an awesome press secy though.",N
"That said, I agree with her - Trump is an imbecile",Y
"HOLY SHIT! Hello media ?? Donald Trump just put Waffen-SS troops in a campaign",Y
"Donald Trump loses temper in Twitter exchange with Modern Family writer",Y
"Just imagine the sort of mistakes he could make with access to the nuclear codes.",N
"Makes you wonder what Donald Trump REALLY thinks about Mexicans, Latinos, blacks, gays, Roma, and of course??Jews.",N
"At least we know who's driving the clown car",N
"Interesting performance of an iconic song, but I gotta say, Johnny Dollar really made that song his own",N
"I can feel myself getting dumber the longer I watch, but I can't stop",N
"Never change USA, never change. You guys are just too hilarious",N
"What will be great about Trumps campaign is he will put out spme truth in a BIG wsy",N
"Oh please, the only thing the rich and powerful don't like about Trump is that he can't be controlled",Y
"want to know who the real trolls are? they legitemize rogue behavior by saying ''they were merely taking orders''.",Y
"I have no use for Trump but you can hardly blame him for the mistake of some other fool..or was it a mistake? Maybe some opposing Republican infiltrator did this to discredit him",Y
"So I guess the intern do all the work in the USA the rest just get the money",Y
"Trump employs more races than any other person in the U.S",Y
"Only the Guardian can think this up",Y
"Trump is a walking headline",Y
"Trump is a chump",N
"Trump's an idiot, because of his pride and selfishness, he will completely lose it's ranking among their constituents. His illiteracy in politics amazes me. If he wants to win he needs to work on his behavior",Y
"Or visa versa..........",N
"Trump is just a reflection of American society",N
"Trump should no better then to attack someone who lives in the gutter, because that only provides them with a foot stool to the curb.",N
"Well Trump might be an oaf with no limits ... but ... does he make a very good point about the insanity and destructiveness of political correctness",N
"Trump does nothing to help us see through mass hysteria. He creates it.",Y
"It is becoming increasingly clear, that despite his billions, trump has a very low intellect. he is used to ordering folk about",Y
"I'm not a Trump supporter, and his jibe at Kelly was justified since she's been using Trump as a punching bag for ages so as to boost her ratings.",Y
"Donald Trump is to Fox News what the Monster turned out to be for Dr Frankenstein. A grisly creation of a perverted infotainment network that values shock and advertising way above news and information.",N
"Trump once entered a pro wrestling stage. Problem is, he's never left since.",Y
"Donald Trump will be on these US Sunday tv programs",Y
"Trump is the winner of The Bloody Fool Award of the Year...., because in America the punters are in love with crass stupidity.",Y
"Trump is the Corychev of the American right. Wildly popular with much of the core support, and entirely unelectable. He will be cheered on by the American left, much as Corbychev is loved by the right here.",N
"This is where I think trump was clever, he knew full well what conclusion people would jump to when he used them about a female moderator who he had an exchange with.",Y
"think he can see how the white knight syndrome is working amongst certain political commentators who he really dislikes, he see's how these comments are further damaging the republican party, and causing a split",N
"It is ??You could see there was blood coming out of her eyes. Blood coming out of her wherever.?? Notice the ''ood coming out of her wherever''? You're firedtt",N
"All things considered, I think I would prefer Donald Trump to Hillary Clinton ... At least, Trump does not fear telling his mind, even if the truth might hurt sometimes",N
